Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-04-14;Suisse;3568616;13620;0;0.38;0.00;99.62
2022-04-14;Colombie;6088912;139734;0;2.29;0.00;97.71
2022-04-14;Dominique;11986;63;0;0.53;0.00;99.47
2022-04-14;Grenade;14092;219;0;1.55;0.00;98.45
2022-04-14;Irlande;1496910;6919;0;0.46;0.00;99.54
2022-04-14;Iran;7199861;140711;0;1.95;0.00;98.05
2022-04-14;Japon;7179839;28836;0;0.40;0.00;99.60
2022-04-14;Saint-Kitts-et-Nevis;5554;43;0;0.77;0.00;99.23
2022-04-14;Laos;198318;707;0;0.36;0.00;99.64
2022-04-14;Lesotho;32968;697;0;2.11;0.00;97.89
2022-04-14;Monaco;11299;56;0;0.50;0.00;99.50
2022-04-14;Macédoine;308152;9256;0;3.00;0.00;97.00
2022-04-14;Martinique;148332;918;0;0.62;0.00;99.38
2022-04-14;Malawi;85713;2628;0;3.07;0.00;96.93
2022-04-14;Niger;8846;308;0;3.48;0.00;96.52
2022-04-14;Népal;978631;11951;0;1.22;0.00;98.78
2022-04-14;Pérou;3552467;212528;0;5.98;0.00;94.02
2022-04-14;Paraguay;648446;18734;0;2.89;0.00;97.11
2022-04-14;Rwanda;129759;1459;0;1.12;0.00;98.88
2022-04-14;Singapour;1148656;1309;0;0.11;0.00;99.89
2022-04-14;Saint-Marin;15827;114;0;0.72;0.00;99.28
2022-04-14;El Salvador;162089;4124;0;2.54;0.00;97.46
2022-04-14;Togo;36957;272;0;0.74;0.00;99.26
2022-04-14;Tunisie;1038668;28509;0;2.74;0.00;97.26
2022-04-14;Tanzanie;33851;803;0;2.37;0.00;97.63
2022-04-14;Ouzbékistan;238176;1637;0;0.69;0.00;99.31
2022-04-14;Viet Nam;10297587;42878;0;0.42;0.00;99.58
